,f1,f2
FE,0.03767702728509903,0.010668843984603882
FFIV,0.03740514814853668,0.010437235236167908
FI,0.03849821537733078,0.012113049626350403
FICO,0.038057826459407806,0.011519543826580048
FIS,0.03772066533565521,0.010997429490089417
FITB,0.037692293524742126,0.01086360216140747
FRT,0.03808499127626419,0.012154266238212585
FSLR,0.03746466338634491,0.010680459439754486
FTNT,0.038550764322280884,0.01240190863609314
FTV,0.03855513036251068,0.01231558620929718
GD,0.03768293559551239,0.010708771646022797
GDDY,0.03791678696870804,0.011322945356369019
GE,0.03825559467077255,0.011966593563556671
GEN,0.038030192255973816,0.01163579523563385
GILD,0.03729279339313507,0.010086119174957275
GIS,0.03615410625934601,0.008667238056659698
GL,0.03793051838874817,0.011167362332344055
GLW,0.03798603266477585,0.011576958000659943
GM,0.03842689096927643,0.012455493211746216
GNRC,0.03986768424510956,0.017007842659950256
GOOG,0.03714928776025772,0.009883113205432892
GOOGL,0.037038035690784454,0.009735777974128723
GPC,0.038478121161460876,0.012286312878131866
GPN,0.03727523237466812,0.010069109499454498
GRMN,0.03757857531309128,0.010724343359470367
GS,0.03726642578840256,0.010425731539726257
GWW,0.038924217224121094,0.013052254915237427
HAL,0.0381406769156456,0.012064941227436066
HAS,0.038541123270988464,0.012720443308353424
HBAN,0.03774508088827133,0.011405132710933685
HCA,0.03845515847206116,0.011925220489501953
HD,0.038182780146598816,0.011502601206302643
HIG,0.037796199321746826,0.01091565191745758
HII,0.0383986160159111,0.012038491666316986
HLT,0.03816857188940048,0.011900544166564941
HOLX,0.037577345967292786,0.010475076735019684
HON,0.038143008947372437,0.011520922183990479
HPE,0.037729717791080475,0.011191040277481079
HPQ,0.03777816891670227,0.011138282716274261
HRL,0.03730897605419159,0.010127231478691101
HSIC,0.03829917311668396,0.011642277240753174
HST,0.03747104853391647,0.01073843240737915
HSY,0.03673949092626572,0.009344212710857391
HUBB,0.03853964805603027,0.012211523950099945
HUM,0.036698319017887115,0.009648926556110382
HWM,0.038733452558517456,0.012767985463142395
IBKR,0.03819765895605087,0.011591248214244843
IBM,0.03763771057128906,0.010945700109004974
ICE,0.037935614585876465,0.011054366827011108
IDXX,0.03829894959926605,0.011739492416381836
IEX,0.038187913596630096,0.011915251612663269
IFF,0.037733063101768494,0.011400982737541199
INCY,0.03740573674440384,0.01025698333978653
INTC,0.03726814687252045,0.011020168662071228
INTU,0.03795378655195236,0.0110950767993927
IP,0.037820056080818176,0.011189833283424377
IPG,0.037304893136024475,0.010200805962085724
IQV,0.03855258226394653,0.012265272438526154
IRM,0.0379503071308136,0.011548370122909546
ISRG,0.03847029060125351,0.012090235948562622
IT,0.03778465837240219,0.011150896549224854
ITW,0.03815180063247681,0.011535994708538055
IVZ,0.038154907524585724,0.011827096343040466
J,0.038025207817554474,0.011369861662387848
JBHT,0.03816373646259308,0.011517971754074097
JBL,0.038657836616039276,0.012643761932849884
JCI,0.038443490862846375,0.012065097689628601
JKHY,0.03823947161436081,0.011572577059268951
JNJ,0.03778351843357086,0.010752595961093903
JPM,0.03809463977813721,0.011609330773353577
K,0.03782692551612854,0.0110621377825737
KDP,0.037350527942180634,0.010229960083961487
KEY,0.03635614365339279,0.00910651683807373
KEYS,0.03813989460468292,0.011893659830093384
KHC,0.03685819357633591,0.009540759027004242
KIM,0.03813403844833374,0.012100361287593842
KKR,0.0378708690404892,0.011436514556407928
KLAC,0.038411080837249756,0.012243963778018951
KMB,0.037657782435417175,0.0106239914894104
KMI,0.038009338080883026,0.011631287634372711
KMX,0.03786011040210724,0.011082656681537628
KO,0.0371844545006752,0.009915612637996674
KR,0.03779169172048569,0.010859772562980652
L,0.03784928470849991,0.011007681488990784
LDOS,0.03835081309080124,0.011900901794433594
LEN,0.03844316303730011,0.01185145229101181
LH,0.03836558759212494,0.011808030307292938
LHX,0.03794854134321213,0.011130839586257935
LII,0.038536183536052704,0.012172959744930267
LIN,0.03807135671377182,0.011349506676197052
LKQ,0.038609981536865234,0.012611240148544312
LLY,0.038234271109104156,0.01150849461555481
LMT,0.03758572041988373,0.010487526655197144
LNT,0.037467166781425476,0.010449185967445374
LOW,0.03842833638191223,0.012053191661834717
LRCX,0.038408905267715454,0.012142643332481384
LULU,0.03775271773338318,0.010890990495681763
LUV,0.0389697402715683,0.013341479003429413
LVS,0.037519246339797974,0.010491423308849335
LW,0.03765858709812164,0.010589949786663055
LYB,0.03788072615861893,0.011280328035354614
LYV,0.038266800343990326,0.011833295226097107
MA,0.03825955092906952,0.011641725897789001
MAA,0.037647537887096405,0.011069349944591522
MAR,0.03827217221260071,0.012216448783874512
MAS,0.03837950527667999,0.011870592832565308
MCD,0.037984780967235565,0.01122419536113739
MCHP,0.03874745965003967,0.013435333967208862
MCK,0.03841828554868698,0.011809773743152618
MCO,0.03814426809549332,0.011469118297100067
MDLZ,0.037378422915935516,0.010200008749961853
MDT,0.03771854192018509,0.010797210037708282
MET,0.03824704885482788,0.012032553553581238
META,0.03798023611307144,0.011107228696346283
MGM,0.038328878581523895,0.012134075164794922
MHK,0.03830230236053467,0.012044936418533325
MKC,0.03627733141183853,0.008912503719329834
MKTX,0.03676743805408478,0.00949009507894516
MLM,0.038702577352523804,0.012398824095726013
MMC,0.03818642348051071,0.011434517800807953
MMM,0.0372004434466362,0.01006413996219635
MNST,0.037086762487888336,0.00980270653963089
MO,0.03794734179973602,0.011331155896186829
MOH,0.03847717493772507,0.012125059962272644
MOS,0.03758246451616287,0.010747618973255157
MPC,0.03819623589515686,0.011678636074066162
MPWR,0.038510896265506744,0.012608662247657776
