,GSPC
2020-08-14,0.006436367051040068
2020-08-21,0.007207499221509303
2020-08-28,0.032630226578713104
2020-09-04,-0.023104280946319212
2020-09-11,-0.025092207441738262
2020-09-18,-0.006435256883040828
2020-09-25,-0.006329326654873968
2020-10-02,0.015146450625188186
2020-10-09,0.03844200360361201
2020-10-16,0.0019182909579974956
2020-10-23,-0.005287362314769926
2020-10-30,-0.05639478895554583
2020-11-06,0.07323636476579086
2020-11-13,0.021573231684130955
2020-11-20,-0.007701174018748943
2020-11-27,0.022715150836375535
2020-12-04,0.016702631110292764
2020-12-11,-0.009640172560039219
2020-12-18,0.01254277422486587
2020-12-25,-0.0017118230840155713
2021-01-01,0.014315190390337806
2021-01-08,0.01826639600235634
2021-01-15,-0.014754157903199748
2021-01-22,0.019430762476779672
2021-01-29,-0.03312012886709158
2021-02-05,0.046467134149760274
2021-02-12,0.01234939501732865
2021-02-19,-0.0071464629041617005
2021-02-26,-0.02446049477674004
2021-03-05,0.008078936764876393
2021-03-12,0.026392954609087384
2021-03-19,-0.007668623441137435
2021-03-26,0.01570109117399001
2021-04-02,0.011405112963887085
2021-04-09,0.027097812696548665
2021-04-16,0.013725637676089569
2021-04-23,-0.001266355438381221
2021-04-30,0.0002392247249966943
2021-05-07,0.01230042709151287
2021-05-14,-0.013880356906983035
2021-05-21,-0.004310225320526506
2021-05-28,0.011610112368395483
2021-06-04,0.006132159785514941
2021-06-11,0.004148997756502938
2021-06-18,-0.019067896712139445
2021-06-25,0.027421424628701414
2021-07-02,0.016735497738418505
2021-07-09,0.003954185921904435
2021-07-16,-0.009701147791478626
2021-07-23,0.019557834643643485
2021-07-30,-0.0037468404641061892
2021-08-06,0.009387443770432723
2021-08-13,0.007095647113089345
2021-08-20,-0.005893034495299911
2021-08-27,0.0152420590686129
2021-09-03,0.005779090630512204
2021-09-10,-0.016944389986780516
2021-09-17,-0.005739460389093536
2021-09-24,0.005073267682693371
2021-10-01,-0.022094127195672726
2021-10-08,0.007872272088387844
2021-10-15,0.01822456841991028
2021-10-22,0.016444575874765735
2021-10-29,0.01330721946979761
2021-11-05,0.02000918592788792
2021-11-12,-0.0031249801856257356
2021-11-19,0.0032266382579302366
2021-11-26,-0.021996748505574332
2021-12-03,-0.012229507548633963
2021-12-10,0.0382488739556554
2021-12-17,-0.019392931785886264
2021-12-24,0.022756566023862654
2021-12-31,0.008546748032581358
