,^IRX,^FVX,^TNX,^TYX
2017-09-22,0.00019937210993825616,0.00036568466272202116,0.0004430916391582329,0.0005496535280755666
2017-09-29,0.0002028294777396411,0.0003703602901807823,0.00044712733583152087,0.0005526635251842382
2017-10-06,0.00020440100079466283,0.0003813458524843938,0.0004598566059752507,0.0005640920575846753
2017-10-13,0.00020809341978900164,0.00038146262436367095,0.0004572568754990236,0.0005602318884048163
2017-10-20,0.00021064626295141942,0.0003888210837847961,0.00045694643850779926,0.0005557150889643481
2017-10-27,0.00021331652700107284,0.0004008462781481814,0.00047478528892352934,0.0005736602976667005
2017-11-03,0.0002218742803552498,0.0003943096310004002,0.0004633863161820351,0.000558417869715111
2017-11-10,0.0002345092384845593,0.000394153404961628,0.000458381680903841,0.0005494591016583783
2017-11-17,0.00024160766321723592,0.0004047367036446037,0.00046412296312570156,0.0005514676624978065
2017-11-24,0.0001981036737028763,0.00032635823559168387,0.0003686517382235355,0.00043317886923910365
2017-12-01,0.0002452934148162722,0.00041126935753821314,0.0004637346598639347,0.0005456744757790233
2017-12-08,0.0002486256071625448,0.0004206005231222054,0.00046385155865547034,0.0005391844007200941
2017-12-15,0.0002529368635053597,0.0004211442941863819,0.00046439443067991526,0.0005358990984252188
2017-12-22,0.000261634956684631,0.00043672300953545573,0.0004830007448406448,0.0005521619911339481
2017-12-29,0.0002142835123377651,0.00034843165536524445,0.00038109710807465724,0.00043286939960207604
2018-01-05,0.0002163207339214157,0.0003551875019802697,0.00038586373981641664,0.00043816162531640224
2018-01-12,0.00027600662950733046,0.00045508450835862746,0.0004962098518210833,0.0005600389354267765
2018-01-19,0.0002214099074955289,0.0003763291912735056,0.00040634582096577,0.00044939532957521955
2018-01-26,0.0002756543606992068,0.00047893282891586786,0.0005181536143521459,0.000569725574572244
2018-02-02,0.0002810942586521925,0.0004971772026687304,0.0005392593143425106,0.0005853809826970036
2018-02-09,0.00029549114565652346,0.0004969456226797675,0.0005513904764036237,0.0006059588604816479
2018-02-16,0.00030659505861696523,0.0005096023498276647,0.0005626636941480356,0.000614392440246192
2018-02-23,0.00025163789926807567,0.0004151278654278556,0.00045479752116950323,0.0004978332977811917
2018-03-02,0.00031718459331764315,0.0005142071971688811,0.0005594982203755983,0.0006126595129243295
2018-03-09,0.0003223407486421248,0.0005181152190310012,0.0005635518840425568,0.0006148160656618273
2018-03-16,0.0003353800753871372,0.0005147496656685568,0.0005561403526985753,0.0006031864539579601
2018-03-23,0.00033713681709612864,0.000519622763010652,0.0005593826116461198,0.0006044961708917551
2018-03-30,0.00026772578903000444,0.0004061527077250382,0.0004363068899784217,0.0004726109977606363
2018-04-06,0.0003313604554500138,0.0005089452163342667,0.0005446314445631817,0.000590779536754571
2018-04-13,0.00033397589833894514,0.0005168766452636753,0.0005494601080517914,0.0005911658013542098
2018-04-20,0.0003456821551706124,0.0005343525220318224,0.0005626618697356367,0.0005990627561487383
2018-04-27,0.00035309299397878746,0.000551352685992379,0.0005838414277470338,0.0006182797363838421
2018-05-04,0.000351650244487578,0.0005470656888069136,0.0005776334424807406,0.0006099649225639325
2018-05-11,0.00036096865593804317,0.00055197022739506,0.0005814510743373802,0.0006110045173250978
2018-05-18,0.00036623089306941914,0.0005687218774548253,0.0005999883853653465,0.0006255522434830407
2018-05-25,0.00036736089632638524,0.000556060965815286,0.000588388370451387,0.0006177012027068773
2018-06-01,0.00029319209265188384,0.00041721400324190583,0.0004433343317729044,0.00046983638721043164
2018-06-08,0.00037090676097517594,0.0005446707562359876,0.0005751263280227015,0.0006040341118476178
2018-06-15,0.0003704782810056706,0.0005505802453766862,0.0005774405247598313,0.0006022622503736308
2018-06-22,0.0003707510153896365,0.0005443231629187473,0.0005690698495033342,0.0005956746012183434
2018-06-29,0.0003690754771117355,0.0005343540614317632,0.0005588040607229505,0.0005860388398966077
2018-07-06,0.0003004774301116342,0.0004286585025237155,0.00044518877866761564,0.00046351442218894867
2018-07-13,0.00037842520041442285,0.0005382573332679552,0.0005580707615209235,0.000577594888774069
2018-07-20,0.0003834097274899584,0.0005400734925817829,0.0005611587810099294,0.0005837642212933591
2018-07-27,0.000382202659690023,0.0005544030109339015,0.0005783662079299479,0.00060330244940765
2018-08-03,0.0003864856507429515,0.0005574143502642404,0.0005820680162391678,0.0006070382720333445
2018-08-10,0.0003925581276267298,0.0005491500149192863,0.0005740835475285255,0.0006026850750473489
2018-08-17,0.0003952434850822417,0.0005379482188290208,0.0005622781642740105,0.0005940946685045745
2018-08-24,0.00039858981645113367,0.0005315327037236361,0.000553360691785576,0.0005834948010443597
2018-08-31,0.00040586470537329333,0.0005399187754606682,0.0005607728283514302,0.0005892772133466728
2018-09-07,0.0003270586182071433,0.00043518721302837626,0.0004548362436913589,0.000480856480208125
2018-09-14,0.00041212584941274777,0.0005604637840250781,0.0005802556600380537,0.0006078855126867566
2018-09-21,0.0004160915716484581,0.0005756276050503661,0.0005973692426073374,0.0006247830963035383
2018-09-28,0.00042180525357249365,0.0005792532399113703,0.0006002592496558989,0.0006257072697091193
