,GSPC
2025-04-18,5282.7001953125
2025-04-25,5525.2099609375
2025-05-02,5686.669921875
2025-05-09,5659.91015625
2025-05-16,5958.3798828125
2025-05-23,5802.81982421875
2025-05-30,5911.68994140625
2025-06-06,6000.35986328125
2025-06-13,5976.97021484375
2025-06-20,5967.83984375
2025-06-27,6173.06982421875
2025-07-04,6279.35009765625
2025-07-11,6259.75
2025-07-18,6296.7900390625
2025-07-25,6388.64013671875
2025-08-01,6238.009765625
2025-08-08,6389.4501953125
2025-08-15,6449.7998046875
2025-08-22,6466.91015625
2025-08-29,6460.259765625
