,^IRX,^FVX,^TNX,^TYX
2023-12-01,5.215000152587891,4.156000137329102,4.22599983215332,4.418000221252441
2023-12-04,5.2230000495910645,4.23799991607666,4.288000106811523,4.438000202178955
2023-12-05,5.243000030517578,4.13700008392334,4.171000003814697,4.304999828338623
2023-12-06,5.243000030517578,4.120999813079834,4.120999813079834,4.223999977111816
2023-12-07,5.232999801635742,4.110000133514404,4.129000186920166,4.245999813079834
2023-12-08,5.232999801635742,4.255000114440918,4.244999885559082,4.324999809265137
2023-12-11,5.232999801635742,4.250999927520752,4.238999843597412,4.329999923706055
2023-12-12,5.248000144958496,4.2270002365112305,4.205999851226807,4.303999900817871
2023-12-13,5.2230000495910645,4.002999782562256,4.0329999923706055,4.183000087738037
2023-12-14,5.215000152587891,3.9100000858306885,3.930000066757202,4.053999900817871
2023-12-15,5.224999904632568,3.930000066757202,3.927999973297119,4.0269999504089355
2023-12-18,5.224999904632568,3.947999954223633,3.9539999961853027,4.068999767303467
2023-12-19,5.23799991607666,3.933000087738037,3.921999931335449,4.034999847412109
2023-12-20,5.230000019073486,3.874000072479248,3.877000093460083,4.005000114440918
2023-12-21,5.210000038146973,3.881999969482422,3.8940000534057617,4.035999774932861
2023-12-22,5.208000183105469,3.878999948501587,3.9010000228881836,4.053999900817871
2023-12-26,5.203000068664551,3.875,3.885999917984009,4.043000221252441
2023-12-27,5.235000133514404,3.7950000762939453,3.7890000343322754,3.944999933242798
2023-12-28,5.2179999351501465,3.8469998836517334,3.8499999046325684,3.98799991607666
2023-12-29,5.179999828338623,3.8399999141693115,3.865999937057495,4.019000053405762
2024-01-02,5.2129998207092285,3.9260001182556152,3.946000099182129,4.085000038146973
2024-01-03,5.235000133514404,3.8910000324249268,3.9070000648498535,4.056000232696533
2024-01-04,5.228000164031982,3.9730000495910645,3.990999937057495,4.13700008392334
2024-01-05,5.21999979019165,4.007999897003174,4.041999816894531,4.199999809265137
2024-01-08,5.21999979019165,3.9560000896453857,4.001999855041504,4.172999858856201
2024-01-09,5.230000019073486,3.9790000915527344,4.019000053405762,4.184999942779541
2024-01-10,5.224999904632568,3.9809999465942383,4.03000020980835,4.199999809265137
2024-01-11,5.2179999351501465,3.8929998874664307,3.9769999980926514,4.182000160217285
2024-01-12,5.197999954223633,3.8320000171661377,3.950000047683716,4.197000026702881
2024-01-16,5.203000068664551,3.944000005722046,4.065999984741211,4.302999973297119
2024-01-17,5.215000152587891,4.025000095367432,4.105999946594238,4.311999797821045
2024-01-18,5.199999809265137,4.048999786376953,4.144000053405762,4.370999813079834
2024-01-19,5.197999954223633,4.072000026702881,4.145999908447266,4.353000164031982
2024-01-22,5.199999809265137,4.017000198364258,4.093999862670898,4.315999984741211
2024-01-23,5.210000038146973,4.051000118255615,4.142000198364258,4.377999782562256
2024-01-24,5.210000038146973,4.083000183105469,4.177999973297119,4.413000106811523
2024-01-25,5.195000171661377,4.017000198364258,4.131999969482422,4.380000114440918
2024-01-26,5.199999809265137,4.060999870300293,4.159999847412109,4.389999866485596
2024-01-29,5.199999809265137,3.993000030517578,4.091000080108643,4.335000038146973
2024-01-30,5.203000068664551,3.996999979019165,4.059000015258789,4.2779998779296875
2024-01-31,5.188000202178955,3.881999969482422,3.9670000076293945,4.215000152587891
2024-02-01,5.199999809265137,3.7990000247955322,3.86299991607666,4.103000164031982
2024-02-02,5.210000038146973,3.993000030517578,4.0329999923706055,4.2270002365112305
2024-02-05,5.228000164031982,4.120999813079834,4.164000034332275,4.34499979019165
2024-02-06,5.2230000495910645,4.041999816894531,4.090000152587891,4.296000003814697
2024-02-07,5.2230000495910645,4.060999870300293,4.110000133514404,4.309999942779541
2024-02-08,5.2179999351501465,4.124000072479248,4.170000076293945,4.375999927520752
2024-02-09,5.21999979019165,4.151000022888184,4.186999797821045,4.38100004196167
2024-02-12,5.228000164031982,4.127999782562256,4.171999931335449,4.369999885559082
2024-02-13,5.232999801635742,4.317999839782715,4.315999984741211,4.466000080108643
2024-02-14,5.2179999351501465,4.244999885559082,4.267000198364258,4.447999954223633
